Epoch,MAP,MRR,P@1,P@5
0,0.5538302094144776,0.691272449411244,0.543010752688,0.430107526882
Epoch,MAP,MRR,P@1,P@5
1,0.5609007596637705,0.689496141788162,0.537634408602,0.438709677419
Epoch,MAP,MRR,P@1,P@5
2,0.5664092793984965,0.6927525553268338,0.543010752688,0.443010752688
Epoch,MAP,MRR,P@1,P@5
3,0.5694592386405714,0.6985579208096185,0.55376344086,0.440860215054
Epoch,MAP,MRR,P@1,P@5
4,0.570271060946027,0.7065474814707062,0.569892473118,0.433333333333
Epoch,MAP,MRR,P@1,P@5
5,0.5690636364055929,0.690228791666922,0.537634408602,0.439784946237
Epoch,MAP,MRR,P@1,P@5
6,0.5689130028046371,0.6835021551015757,0.532258064516,0.444086021505
Epoch,MAP,MRR,P@1,P@5
7,0.5722102323701516,0.6877367847631504,0.537634408602,0.441935483871
Epoch,MAP,MRR,P@1,P@5
8,0.5743501045699257,0.7016409958447809,0.55376344086,0.432258064516
Epoch,MAP,MRR,P@1,P@5
9,0.5683440877452031,0.6877098749314868,0.52688172043,0.430107526882
